Sym , "E0", "E", "T", "F", "num", "id", "+", "-", "*", "/", "(", ")", "$"
1, , G1, G2, G3, S4, S5, , , , , S6, , 
2, , , , , , , S7, S8, , , , , A0
3, , , , , , , R1, R1, S9, S10, , R1, R1
4, , , , , , , R4, R4, R4, R4, , R4, R4
5, , , , , , , R9, R9, R9, R9, , R9, R9
6, , , , , , , R8, R8, R8, R8, , R8, R8
7, , G11, G2, G3, S4, S5, , , , , S6, , 
8, , , G12, G3, S4, S5, , , , , S6, , 
9, , , G13, G3, S4, S5, , , , , S6, , 
10, , , , G14, S4, S5, , , , , S6, , 
11, , , , G15, S4, S5, , , , , S6, , 
12, , , , , , , S7, S8, , , , S16, 
13, , , , , , , R2, R2, S9, S10, , R2, R2
14, , , , , , , R3, R3, S9, S10, , R3, R3
15, , , , , , , R5, R5, R5, R5, , R5, R5
16, , , , , , , R6, R6, R6, R6, , R6, R6
17, , , , , , , R7, R7, R7, R7, , R7, R7
